backend,params_name,query,query_id,precision@10,recall@10,average_precision,ndcg@10
elasticsearch,default,anime sci-fi movies,q0000_b72dbdd2,0.0,0.0,0.0,0.0
elasticsearch,default,best heist movies,q0001_848513af,0.0,0.0,0.01111111111111111,0.0
elasticsearch,default,best science fiction movies of all time,q0002_e2f4dcd6,0.2,0.2222222222222222,0.2222783389450056,0.3029889503327761
elasticsearch,default,classic comedy movies,q0003_68fcb631,0.0,0.0,0.0,0.0
elasticsearch,default,classic sci-fi TV shows,q0004_56828059,0.0,0.0,0.0,0.0
elasticsearch,default,classic western movies,q0005_a308869a,0.4,1.0,0.8928571428571428,0.9619991470595832
elasticsearch,default,dark cyberpunk sci-fi movies,q0006_bf6b69c4,0.0,0.0,0.020833333333333332,0.0
elasticsearch,default,epic fantasy adventure movies,q0007_9cc64d31,0.3,0.75,0.2904761904761905,0.4763363265545566
elasticsearch,default,epic war movies,q0008_ed1fc8ea,0.1,0.2,0.225,0.3391602052736161
elasticsearch,default,fantasy TV epics like The Witcher,q0009_6d82492d,0.0,0.0,0.0,0.0
elasticsearch,default,feel-good comedy movies under 2 hours,q0010_5c0b9843,0.0,0.0,0.0,0.0
elasticsearch,default,fun time-travel adventure movies,q0011_b1c8fe07,0.0,0.0,0.0,0.0
elasticsearch,default,gripping crime TV dramas,q0012_6ccbe365,0.1,0.14285714285714285,0.017857142857142856,0.08671382849411972
elasticsearch,default,gritty street-level superhero TV shows,q0013_8470befc,0.0,0.0,0.0,0.0
elasticsearch,default,heist TV shows,q0014_b58c15f6,0.0,0.0,0.029647435897435896,0.0
elasticsearch,default,intense crime drama movies,q0015_a9dbb1ba,0.0,0.0,0.0,0.0
elasticsearch,default,light-hearted space opera TV shows,q0016_2b0a2bab,0.0,0.0,0.0,0.0
elasticsearch,default,long-form epic fantasy TV series,q0017_1e998183,0.0,0.0,0.0,0.0
elasticsearch,default,mind-bending sci-fi movies like Inception,q0018_5507d275,0.1,0.14285714285714285,0.028571428571428574,0.10633668103022985
elasticsearch,default,mind-bending mystery movies with twists,q0019_79da7f59,0.0,0.0,0.0,0.0
elasticsearch,default,must-watch horror movies,q0020_f70cdbe7,0.2,0.2857142857142857,0.09489795918367347,0.19305050952434957
elasticsearch,default,neo-noir crime movies,q0021_b0a3283d,0.0,0.0,0.022250476795931343,0.0
elasticsearch,default,post-apocalyptic TV shows,q0022_35af4faf,0.0,0.0,0.0,0.0
elasticsearch,default,psychological horror movies that get in your head,q0023_590787d1,0.0,0.0,0.0,0.0
elasticsearch,default,psychological thrillers about money and greed,q0024_26b1fc13,0.0,0.0,0.0,0.0
elasticsearch,default,rom-com movies from the 2000s,q0025_0bb88c9e,0.0,0.0,0.0,0.0
elasticsearch,default,spy thriller movies with espionage,q0026_eadd8394,0.0,0.0,0.0,0.0
elasticsearch,default,time-travel thriller movies,q0027_4c715716,0.0,0.0,0.0,0.0
elasticsearch,default,top-tier animated movies,q0028_16834a53,0.1,0.2,0.2,0.3391602052736161
elasticsearch,default,zombie apocalypse movies and shows,q0029_f712570f,0.0,0.0,0.0,0.0
elasticsearch,ann_only,anime sci-fi movies,q0000_b72dbdd2,0.0,0.0,0.017857142857142856,0.0
elasticsearch,ann_only,best heist movies,q0001_848513af,0.0,0.0,0.0,0.0
elasticsearch,ann_only,best science fiction movies of all time,q0002_e2f4dcd6,0.2,0.2222222222222222,0.2222783389450056,0.3029889503327761
elasticsearch,ann_only,classic comedy movies,q0003_68fcb631,0.0,0.0,0.0,0.0
elasticsearch,ann_only,classic sci-fi TV shows,q0004_56828059,0.0,0.0,0.0,0.0
elasticsearch,ann_only,classic western movies,q0005_a308869a,0.4,1.0,0.8928571428571428,0.9619991470595832
elasticsearch,ann_only,dark cyberpunk sci-fi movies,q0006_bf6b69c4,0.0,0.0,0.09244505494505495,0.0
elasticsearch,ann_only,epic fantasy adventure movies,q0007_9cc64d31,0.3,0.75,0.2904761904761905,0.4763363265545566
elasticsearch,ann_only,epic war movies,q0008_ed1fc8ea,0.1,0.2,0.225,0.3391602052736161
elasticsearch,ann_only,fantasy TV epics like The Witcher,q0009_6d82492d,0.0,0.0,0.0,0.0
elasticsearch,ann_only,feel-good comedy movies under 2 hours,q0010_5c0b9843,0.0,0.0,0.0,0.0
elasticsearch,ann_only,fun time-travel adventure movies,q0011_b1c8fe07,0.0,0.0,0.0,0.0
elasticsearch,ann_only,gripping crime TV dramas,q0012_6ccbe365,0.1,0.14285714285714285,0.07142857142857142,0.17342765698823945
elasticsearch,ann_only,gritty street-level superhero TV shows,q0013_8470befc,0.0,0.0,0.016666666666666666,0.0
elasticsearch,ann_only,heist TV shows,q0014_b58c15f6,0.0,0.0,0.011363636363636364,0.0
elasticsearch,ann_only,intense crime drama movies,q0015_a9dbb1ba,0.1,0.14285714285714285,0.014285714285714287,0.07945707943276742
elasticsearch,ann_only,light-hearted space opera TV shows,q0016_2b0a2bab,0.0,0.0,0.010416666666666666,0.0
elasticsearch,ann_only,long-form epic fantasy TV series,q0017_1e998183,0.0,0.0,0.0,0.0
elasticsearch,ann_only,mind-bending sci-fi movies like Inception,q0018_5507d275,0.1,0.14285714285714285,0.028571428571428574,0.10633668103022985
elasticsearch,ann_only,mind-bending mystery movies with twists,q0019_79da7f59,0.0,0.0,0.0,0.0
elasticsearch,ann_only,must-watch horror movies,q0020_f70cdbe7,0.3,0.42857142857142855,0.3238095238095238,0.5186511804016661
elasticsearch,ann_only,neo-noir crime movies,q0021_b0a3283d,0.0,0.0,0.006493506493506493,0.0
elasticsearch,ann_only,post-apocalyptic TV shows,q0022_35af4faf,0.0,0.0,0.0,0.0
elasticsearch,ann_only,psychological horror movies that get in your head,q0023_590787d1,0.0,0.0,0.0,0.0
elasticsearch,ann_only,psychological thrillers about money and greed,q0024_26b1fc13,0.1,0.2,0.2,0.3391602052736161
elasticsearch,ann_only,rom-com movies from the 2000s,q0025_0bb88c9e,0.0,0.0,0.0,0.0
elasticsearch,ann_only,spy thriller movies with espionage,q0026_eadd8394,0.0,0.0,0.017543859649122806,0.0
elasticsearch,ann_only,time-travel thriller movies,q0027_4c715716,0.0,0.0,0.0,0.0
elasticsearch,ann_only,top-tier animated movies,q0028_16834a53,0.1,0.2,0.2,0.3391602052736161
elasticsearch,ann_only,zombie apocalypse movies and shows,q0029_f712570f,0.0,0.0,0.013157894736842105,0.0
elasticsearch,collab_boost,anime sci-fi movies,q0000_b72dbdd2,0.0,0.0,0.0,0.0
elasticsearch,collab_boost,best heist movies,q0001_848513af,0.0,0.0,0.0,0.0
elasticsearch,collab_boost,best science fiction movies of all time,q0002_e2f4dcd6,0.2,0.2222222222222222,0.2222783389450056,0.3029889503327761
elasticsearch,collab_boost,classic comedy movies,q0003_68fcb631,0.0,0.0,0.0,0.0
elasticsearch,collab_boost,classic sci-fi TV shows,q0004_56828059,0.0,0.0,0.0,0.0
elasticsearch,collab_boost,classic western movies,q0005_a308869a,0.4,1.0,0.8928571428571428,0.9619991470595832
elasticsearch,collab_boost,dark cyberpunk sci-fi movies,q0006_bf6b69c4,0.0,0.0,0.020833333333333332,0.0
elasticsearch,collab_boost,epic fantasy adventure movies,q0007_9cc64d31,0.3,0.75,0.2904761904761905,0.4763363265545566
elasticsearch,collab_boost,epic war movies,q0008_ed1fc8ea,0.1,0.2,0.225,0.3391602052736161
elasticsearch,collab_boost,fantasy TV epics like The Witcher,q0009_6d82492d,0.0,0.0,0.0,0.0
elasticsearch,collab_boost,feel-good comedy movies under 2 hours,q0010_5c0b9843,0.0,0.0,0.0,0.0
elasticsearch,collab_boost,fun time-travel adventure movies,q0011_b1c8fe07,0.0,0.0,0.0,0.0
elasticsearch,collab_boost,gripping crime TV dramas,q0012_6ccbe365,0.1,0.14285714285714285,0.07142857142857142,0.17342765698823945
elasticsearch,collab_boost,gritty street-level superhero TV shows,q0013_8470befc,0.0,0.0,0.0,0.0
elasticsearch,collab_boost,heist TV shows,q0014_b58c15f6,0.0,0.0,0.011363636363636364,0.0
elasticsearch,collab_boost,intense crime drama movies,q0015_a9dbb1ba,0.0,0.0,0.0,0.0
elasticsearch,collab_boost,light-hearted space opera TV shows,q0016_2b0a2bab,0.0,0.0,0.011904761904761904,0.0
elasticsearch,collab_boost,long-form epic fantasy TV series,q0017_1e998183,0.0,0.0,0.0,0.0
elasticsearch,collab_boost,mind-bending sci-fi movies like Inception,q0018_5507d275,0.1,0.14285714285714285,0.028571428571428574,0.10633668103022985
elasticsearch,collab_boost,mind-bending mystery movies with twists,q0019_79da7f59,0.0,0.0,0.0,0.0
elasticsearch,collab_boost,must-watch horror movies,q0020_f70cdbe7,0.3,0.42857142857142855,0.3238095238095238,0.5186511804016661
elasticsearch,collab_boost,neo-noir crime movies,q0021_b0a3283d,0.0,0.0,0.021251475796930343,0.0
elasticsearch,collab_boost,post-apocalyptic TV shows,q0022_35af4faf,0.0,0.0,0.0,0.0
elasticsearch,collab_boost,psychological horror movies that get in your head,q0023_590787d1,0.0,0.0,0.0,0.0
elasticsearch,collab_boost,psychological thrillers about money and greed,q0024_26b1fc13,0.1,0.2,0.2,0.3391602052736161
elasticsearch,collab_boost,rom-com movies from the 2000s,q0025_0bb88c9e,0.0,0.0,0.0,0.0
elasticsearch,collab_boost,spy thriller movies with espionage,q0026_eadd8394,0.0,0.0,0.0,0.0
elasticsearch,collab_boost,time-travel thriller movies,q0027_4c715716,0.0,0.0,0.0,0.0
elasticsearch,collab_boost,top-tier animated movies,q0028_16834a53,0.1,0.2,0.2,0.3391602052736161
elasticsearch,collab_boost,zombie apocalypse movies and shows,q0029_f712570f,0.0,0.0,0.016666666666666666,0.0
elasticsearch,popularity_boost,anime sci-fi movies,q0000_b72dbdd2,0.0,0.0,0.0,0.0
elasticsearch,popularity_boost,best heist movies,q0001_848513af,0.0,0.0,0.0,0.0
elasticsearch,popularity_boost,best science fiction movies of all time,q0002_e2f4dcd6,0.2,0.2222222222222222,0.2222783389450056,0.3029889503327761
elasticsearch,popularity_boost,classic comedy movies,q0003_68fcb631,0.0,0.0,0.0,0.0
elasticsearch,popularity_boost,classic sci-fi TV shows,q0004_56828059,0.0,0.0,0.0,0.0
elasticsearch,popularity_boost,classic western movies,q0005_a308869a,0.4,1.0,0.8928571428571428,0.9619991470595832
elasticsearch,popularity_boost,dark cyberpunk sci-fi movies,q0006_bf6b69c4,0.0,0.0,0.05929487179487179,0.0
elasticsearch,popularity_boost,epic fantasy adventure movies,q0007_9cc64d31,0.3,0.75,0.2904761904761905,0.4763363265545566
elasticsearch,popularity_boost,epic war movies,q0008_ed1fc8ea,0.1,0.2,0.225,0.3391602052736161
elasticsearch,popularity_boost,fantasy TV epics like The Witcher,q0009_6d82492d,0.0,0.0,0.0,0.0
elasticsearch,popularity_boost,feel-good comedy movies under 2 hours,q0010_5c0b9843,0.0,0.0,0.0,0.0
elasticsearch,popularity_boost,fun time-travel adventure movies,q0011_b1c8fe07,0.0,0.0,0.0,0.0
elasticsearch,popularity_boost,gripping crime TV dramas,q0012_6ccbe365,0.1,0.14285714285714285,0.07142857142857142,0.17342765698823945
elasticsearch,popularity_boost,gritty street-level superhero TV shows,q0013_8470befc,0.0,0.0,0.022727272727272728,0.0
elasticsearch,popularity_boost,heist TV shows,q0014_b58c15f6,0.0,0.0,0.011363636363636364,0.0
elasticsearch,popularity_boost,intense crime drama movies,q0015_a9dbb1ba,0.1,0.14285714285714285,0.015873015873015872,0.08274602130532002
elasticsearch,popularity_boost,light-hearted space opera TV shows,q0016_2b0a2bab,0.0,0.0,0.011111111111111112,0.0
elasticsearch,popularity_boost,long-form epic fantasy TV series,q0017_1e998183,0.0,0.0,0.0,0.0
elasticsearch,popularity_boost,mind-bending sci-fi movies like Inception,q0018_5507d275,0.1,0.14285714285714285,0.028571428571428574,0.10633668103022985
elasticsearch,popularity_boost,mind-bending mystery movies with twists,q0019_79da7f59,0.0,0.0,0.0,0.0
elasticsearch,popularity_boost,must-watch horror movies,q0020_f70cdbe7,0.3,0.42857142857142855,0.3238095238095238,0.5186511804016661
elasticsearch,popularity_boost,neo-noir crime movies,q0021_b0a3283d,0.0,0.0,0.021251475796930343,0.0
elasticsearch,popularity_boost,post-apocalyptic TV shows,q0022_35af4faf,0.0,0.0,0.0,0.0
elasticsearch,popularity_boost,psychological horror movies that get in your head,q0023_590787d1,0.0,0.0,0.0,0.0
elasticsearch,popularity_boost,psychological thrillers about money and greed,q0024_26b1fc13,0.1,0.2,0.2,0.3391602052736161
elasticsearch,popularity_boost,rom-com movies from the 2000s,q0025_0bb88c9e,0.0,0.0,0.0,0.0
elasticsearch,popularity_boost,spy thriller movies with espionage,q0026_eadd8394,0.0,0.0,0.0,0.0
elasticsearch,popularity_boost,time-travel thriller movies,q0027_4c715716,0.0,0.0,0.0,0.0
elasticsearch,popularity_boost,top-tier animated movies,q0028_16834a53,0.1,0.2,0.2,0.3391602052736161
elasticsearch,popularity_boost,zombie apocalypse movies and shows,q0029_f712570f,0.0,0.0,0.015625,0.0
elasticsearch,classic_top_rated,anime sci-fi movies,q0000_b72dbdd2,0.1,0.25,0.125,0.24630238874073
elasticsearch,classic_top_rated,best heist movies,q0001_848513af,0.0,0.0,0.01111111111111111,0.0
elasticsearch,classic_top_rated,best science fiction movies of all time,q0002_e2f4dcd6,0.2,0.2222222222222222,0.2222783389450056,0.3029889503327761
elasticsearch,classic_top_rated,classic comedy movies,q0003_68fcb631,0.0,0.0,0.0,0.0
elasticsearch,classic_top_rated,classic sci-fi TV shows,q0004_56828059,0.0,0.0,0.0,0.0
elasticsearch,classic_top_rated,classic western movies,q0005_a308869a,0.4,1.0,0.8928571428571428,0.9619991470595832
elasticsearch,classic_top_rated,dark cyberpunk sci-fi movies,q0006_bf6b69c4,0.0,0.0,0.0,0.0
elasticsearch,classic_top_rated,epic fantasy adventure movies,q0007_9cc64d31,0.3,0.75,0.2904761904761905,0.4763363265545566
elasticsearch,classic_top_rated,epic war movies,q0008_ed1fc8ea,0.1,0.2,0.225,0.3391602052736161
elasticsearch,classic_top_rated,fantasy TV epics like The Witcher,q0009_6d82492d,0.0,0.0,0.0,0.0
elasticsearch,classic_top_rated,feel-good comedy movies under 2 hours,q0010_5c0b9843,0.0,0.0,0.0,0.0
elasticsearch,classic_top_rated,fun time-travel adventure movies,q0011_b1c8fe07,0.1,0.25,0.025,0.11284514134893527
elasticsearch,classic_top_rated,gripping crime TV dramas,q0012_6ccbe365,0.2,0.2857142857142857,0.25951241740715425,0.3727892582642586
elasticsearch,classic_top_rated,gritty street-level superhero TV shows,q0013_8470befc,0.0,0.0,0.0,0.0
elasticsearch,classic_top_rated,heist TV shows,q0014_b58c15f6,0.0,0.0,0.0,0.0
elasticsearch,classic_top_rated,intense crime drama movies,q0015_a9dbb1ba,0.3,0.42857142857142855,0.2503401360544218,0.3903229028781523
elasticsearch,classic_top_rated,light-hearted space opera TV shows,q0016_2b0a2bab,0.0,0.0,0.0,0.0
elasticsearch,classic_top_rated,long-form epic fantasy TV series,q0017_1e998183,0.0,0.0,0.0,0.0
elasticsearch,classic_top_rated,mind-bending sci-fi movies like Inception,q0018_5507d275,0.3,0.42857142857142855,0.2571428571428572,0.4727162053024212
elasticsearch,classic_top_rated,mind-bending mystery movies with twists,q0019_79da7f59,0.2,0.4,0.09047619047619046,0.23386470445736623
elasticsearch,classic_top_rated,must-watch horror movies,q0020_f70cdbe7,0.2,0.2857142857142857,0.09489795918367347,0.19305050952434957
elasticsearch,classic_top_rated,neo-noir crime movies,q0021_b0a3283d,0.0,0.0,0.008264462809917356,0.0
elasticsearch,classic_top_rated,post-apocalyptic TV shows,q0022_35af4faf,0.0,0.0,0.0,0.0
elasticsearch,classic_top_rated,psychological horror movies that get in your head,q0023_590787d1,0.0,0.0,0.0,0.0
elasticsearch,classic_top_rated,psychological thrillers about money and greed,q0024_26b1fc13,0.1,0.2,0.1,0.21398626473452756
elasticsearch,classic_top_rated,rom-com movies from the 2000s,q0025_0bb88c9e,0.0,0.0,0.0,0.0
elasticsearch,classic_top_rated,spy thriller movies with espionage,q0026_eadd8394,0.0,0.0,0.0,0.0
elasticsearch,classic_top_rated,time-travel thriller movies,q0027_4c715716,0.0,0.0,0.0,0.0
elasticsearch,classic_top_rated,top-tier animated movies,q0028_16834a53,0.1,0.2,0.2,0.3391602052736161
elasticsearch,classic_top_rated,zombie apocalypse movies and shows,q0029_f712570f,0.0,0.0,0.0,0.0
elasticsearch,no_diversify,anime sci-fi movies,q0000_b72dbdd2,0.0,0.0,0.017857142857142856,0.0
elasticsearch,no_diversify,best heist movies,q0001_848513af,0.0,0.0,0.0,0.0
elasticsearch,no_diversify,best science fiction movies of all time,q0002_e2f4dcd6,0.2,0.2222222222222222,0.2222783389450056,0.3029889503327761
elasticsearch,no_diversify,classic comedy movies,q0003_68fcb631,0.0,0.0,0.0,0.0
elasticsearch,no_diversify,classic sci-fi TV shows,q0004_56828059,0.0,0.0,0.0,0.0
elasticsearch,no_diversify,classic western movies,q0005_a308869a,0.4,1.0,0.8928571428571428,0.9619991470595832
elasticsearch,no_diversify,dark cyberpunk sci-fi movies,q0006_bf6b69c4,0.0,0.0,0.09244505494505495,0.0
elasticsearch,no_diversify,epic fantasy adventure movies,q0007_9cc64d31,0.3,0.75,0.2904761904761905,0.4763363265545566
elasticsearch,no_diversify,epic war movies,q0008_ed1fc8ea,0.1,0.2,0.225,0.3391602052736161
elasticsearch,no_diversify,fantasy TV epics like The Witcher,q0009_6d82492d,0.0,0.0,0.0,0.0
elasticsearch,no_diversify,feel-good comedy movies under 2 hours,q0010_5c0b9843,0.0,0.0,0.0,0.0
elasticsearch,no_diversify,fun time-travel adventure movies,q0011_b1c8fe07,0.0,0.0,0.0,0.0
elasticsearch,no_diversify,gripping crime TV dramas,q0012_6ccbe365,0.1,0.14285714285714285,0.07142857142857142,0.17342765698823945
elasticsearch,no_diversify,gritty street-level superhero TV shows,q0013_8470befc,0.0,0.0,0.016666666666666666,0.0
elasticsearch,no_diversify,heist TV shows,q0014_b58c15f6,0.0,0.0,0.011363636363636364,0.0
elasticsearch,no_diversify,intense crime drama movies,q0015_a9dbb1ba,0.1,0.14285714285714285,0.014285714285714287,0.07945707943276742
elasticsearch,no_diversify,light-hearted space opera TV shows,q0016_2b0a2bab,0.0,0.0,0.010416666666666666,0.0
elasticsearch,no_diversify,long-form epic fantasy TV series,q0017_1e998183,0.0,0.0,0.0,0.0
elasticsearch,no_diversify,mind-bending sci-fi movies like Inception,q0018_5507d275,0.1,0.14285714285714285,0.028571428571428574,0.10633668103022985
elasticsearch,no_diversify,mind-bending mystery movies with twists,q0019_79da7f59,0.0,0.0,0.0,0.0
