backend,params_name,query,query_id,rank,item_id,relevant
elasticsearch,default,best heist movies,q0001_848513af,1,278,0
elasticsearch,default,best heist movies,q0001_848513af,2,238,0
elasticsearch,default,best heist movies,q0001_848513af,3,240,0
elasticsearch,default,best heist movies,q0001_848513af,4,155,0
elasticsearch,default,best heist movies,q0001_848513af,5,497,0
elasticsearch,default,best heist movies,q0001_848513af,6,680,0
elasticsearch,default,best heist movies,q0001_848513af,7,769,0
elasticsearch,default,best heist movies,q0001_848513af,8,598,0
elasticsearch,default,best heist movies,q0001_848513af,9,311,0
elasticsearch,default,best heist movies,q0001_848513af,10,807,0
elasticsearch,default,best science fiction movies of all time,q0002_e2f4dcd6,1,157336,1
elasticsearch,default,best science fiction movies of all time,q0002_e2f4dcd6,2,324857,0
elasticsearch,default,best science fiction movies of all time,q0002_e2f4dcd6,3,1891,0
elasticsearch,default,best science fiction movies of all time,q0002_e2f4dcd6,4,27205,0
elasticsearch,default,best science fiction movies of all time,q0002_e2f4dcd6,5,105,0
elasticsearch,default,best science fiction movies of all time,q0002_e2f4dcd6,6,1184918,0
elasticsearch,default,best science fiction movies of all time,q0002_e2f4dcd6,7,18491,0
elasticsearch,default,best science fiction movies of all time,q0002_e2f4dcd6,8,299534,0
elasticsearch,default,best science fiction movies of all time,q0002_e2f4dcd6,9,299536,0
elasticsearch,default,best science fiction movies of all time,q0002_e2f4dcd6,10,603,1
elasticsearch,default,classic comedy movies,q0003_68fcb631,1,19404,0
elasticsearch,default,classic comedy movies,q0003_68fcb631,2,496243,0
elasticsearch,default,classic comedy movies,q0003_68fcb631,3,680,0
elasticsearch,default,classic comedy movies,q0003_68fcb631,4,13,0
elasticsearch,default,classic comedy movies,q0003_68fcb631,5,637,0
elasticsearch,default,classic comedy movies,q0003_68fcb631,6,40096,0
elasticsearch,default,classic comedy movies,q0003_68fcb631,7,105,0
elasticsearch,default,classic comedy movies,q0003_68fcb631,8,820067,0
elasticsearch,default,classic comedy movies,q0003_68fcb631,9,914,0
elasticsearch,default,classic comedy movies,q0003_68fcb631,10,1139087,0
elasticsearch,default,classic sci-fi TV shows,q0004_56828059,1,94605,0
elasticsearch,default,classic sci-fi TV shows,q0004_56828059,2,246,0
elasticsearch,default,classic sci-fi TV shows,q0004_56828059,3,209867,0
elasticsearch,default,classic sci-fi TV shows,q0004_56828059,4,31911,0
elasticsearch,default,classic sci-fi TV shows,q0004_56828059,5,60625,0
elasticsearch,default,classic sci-fi TV shows,q0004_56828059,6,1429,0
elasticsearch,default,classic sci-fi TV shows,q0004_56828059,7,94954,0
elasticsearch,default,classic sci-fi TV shows,q0004_56828059,8,92685,0
elasticsearch,default,classic sci-fi TV shows,q0004_56828059,9,46298,0
elasticsearch,default,classic sci-fi TV shows,q0004_56828059,10,85937,0
elasticsearch,default,classic western movies,q0005_a308869a,1,429,1
elasticsearch,default,classic western movies,q0005_a308869a,2,335,1
elasticsearch,default,classic western movies,q0005_a308869a,3,68718,1
elasticsearch,default,classic western movies,q0005_a308869a,4,938,0
elasticsearch,default,classic western movies,q0005_a308869a,5,3090,0
elasticsearch,default,classic western movies,q0005_a308869a,6,6977,0
elasticsearch,default,classic western movies,q0005_a308869a,7,33,1
elasticsearch,default,classic western movies,q0005_a308869a,8,52629,0
elasticsearch,default,classic western movies,q0005_a308869a,9,698508,0
elasticsearch,default,classic western movies,q0005_a308869a,10,581,0
elasticsearch,default,dark cyberpunk sci-fi movies,q0006_bf6b69c4,1,1197137,0
elasticsearch,default,dark cyberpunk sci-fi movies,q0006_bf6b69c4,2,1242898,0
elasticsearch,default,dark cyberpunk sci-fi movies,q0006_bf6b69c4,3,7451,0
elasticsearch,default,dark cyberpunk sci-fi movies,q0006_bf6b69c4,4,617126,0
elasticsearch,default,dark cyberpunk sci-fi movies,q0006_bf6b69c4,5,701387,0
elasticsearch,default,dark cyberpunk sci-fi movies,q0006_bf6b69c4,6,1062722,0
elasticsearch,default,dark cyberpunk sci-fi movies,q0006_bf6b69c4,7,1290159,0
elasticsearch,default,dark cyberpunk sci-fi movies,q0006_bf6b69c4,8,1522923,0
elasticsearch,default,dark cyberpunk sci-fi movies,q0006_bf6b69c4,9,157336,0
elasticsearch,default,dark cyberpunk sci-fi movies,q0006_bf6b69c4,10,604079,0
elasticsearch,default,epic fantasy adventure movies,q0007_9cc64d31,1,129,0
elasticsearch,default,epic fantasy adventure movies,q0007_9cc64d31,2,497,0
elasticsearch,default,epic fantasy adventure movies,q0007_9cc64d31,3,122,1
elasticsearch,default,epic fantasy adventure movies,q0007_9cc64d31,4,157336,0
elasticsearch,default,epic fantasy adventure movies,q0007_9cc64d31,5,120,1
elasticsearch,default,epic fantasy adventure movies,q0007_9cc64d31,6,40096,0
elasticsearch,default,epic fantasy adventure movies,q0007_9cc64d31,7,121,1
elasticsearch,default,epic fantasy adventure movies,q0007_9cc64d31,8,324857,0
elasticsearch,default,epic fantasy adventure movies,q0007_9cc64d31,9,4935,0
elasticsearch,default,epic fantasy adventure movies,q0007_9cc64d31,10,1891,0
elasticsearch,default,epic war movies,q0008_ed1fc8ea,1,424,1
elasticsearch,default,epic war movies,q0008_ed1fc8ea,2,122,0
elasticsearch,default,epic war movies,q0008_ed1fc8ea,3,157336,0
elasticsearch,default,epic war movies,q0008_ed1fc8ea,4,12477,0
elasticsearch,default,epic war movies,q0008_ed1fc8ea,5,120,0
elasticsearch,default,epic war movies,q0008_ed1fc8ea,6,121,0
elasticsearch,default,epic war movies,q0008_ed1fc8ea,7,324857,0
elasticsearch,default,epic war movies,q0008_ed1fc8ea,8,4935,0
elasticsearch,default,epic war movies,q0008_ed1fc8ea,9,1891,0
elasticsearch,default,epic war movies,q0008_ed1fc8ea,10,423,0
elasticsearch,default,fantasy TV epics like The Witcher,q0009_6d82492d,1,94605,0
elasticsearch,default,fantasy TV epics like The Witcher,q0009_6d82492d,2,246,0
elasticsearch,default,fantasy TV epics like The Witcher,q0009_6d82492d,3,209867,0
elasticsearch,default,fantasy TV epics like The Witcher,q0009_6d82492d,4,31911,0
elasticsearch,default,fantasy TV epics like The Witcher,q0009_6d82492d,5,60625,0
elasticsearch,default,fantasy TV epics like The Witcher,q0009_6d82492d,6,1429,0
elasticsearch,default,fantasy TV epics like The Witcher,q0009_6d82492d,7,94954,0
elasticsearch,default,fantasy TV epics like The Witcher,q0009_6d82492d,8,92685,0
elasticsearch,default,fantasy TV epics like The Witcher,q0009_6d82492d,9,46298,0
elasticsearch,default,fantasy TV epics like The Witcher,q0009_6d82492d,10,85937,0
elasticsearch,default,feel-good comedy movies under 2 hours,q0010_5c0b9843,1,701387,0
elasticsearch,default,feel-good comedy movies under 2 hours,q0010_5c0b9843,2,1218925,0
elasticsearch,default,feel-good comedy movies under 2 hours,q0010_5c0b9843,3,803796,0
elasticsearch,default,feel-good comedy movies under 2 hours,q0010_5c0b9843,4,1245993,0
elasticsearch,default,feel-good comedy movies under 2 hours,q0010_5c0b9843,5,105,0
elasticsearch,default,feel-good comedy movies under 2 hours,q0010_5c0b9843,6,1125257,0
elasticsearch,default,feel-good comedy movies under 2 hours,q0010_5c0b9843,7,1352310,0
elasticsearch,default,feel-good comedy movies under 2 hours,q0010_5c0b9843,8,1195506,0
elasticsearch,default,fun time-travel adventure movies,q0011_b1c8fe07,1,1242898,0
elasticsearch,default,fun time-travel adventure movies,q0011_b1c8fe07,2,1571470,0
elasticsearch,default,fun time-travel adventure movies,q0011_b1c8fe07,3,7451,0
elasticsearch,default,fun time-travel adventure movies,q0011_b1c8fe07,4,617126,0
elasticsearch,default,fun time-travel adventure movies,q0011_b1c8fe07,5,701387,0
elasticsearch,default,fun time-travel adventure movies,q0011_b1c8fe07,6,1062722,0
elasticsearch,default,fun time-travel adventure movies,q0011_b1c8fe07,7,436969,0
elasticsearch,default,fun time-travel adventure movies,q0011_b1c8fe07,8,157336,0
elasticsearch,default,fun time-travel adventure movies,q0011_b1c8fe07,9,604079,0
elasticsearch,default,fun time-travel adventure movies,q0011_b1c8fe07,10,533533,0
elasticsearch,default,gripping crime TV dramas,q0012_6ccbe365,1,258742,0
elasticsearch,default,gripping crime TV dramas,q0012_6ccbe365,2,200875,0
elasticsearch,default,gripping crime TV dramas,q0012_6ccbe365,3,272418,0
elasticsearch,default,gripping crime TV dramas,q0012_6ccbe365,4,71912,0
elasticsearch,default,gripping crime TV dramas,q0012_6ccbe365,5,66732,0
elasticsearch,default,gripping crime TV dramas,q0012_6ccbe365,6,252000,0
elasticsearch,default,gripping crime TV dramas,q0012_6ccbe365,7,94954,0
elasticsearch,default,gripping crime TV dramas,q0012_6ccbe365,8,1396,1
elasticsearch,default,gripping crime TV dramas,q0012_6ccbe365,9,226637,0
elasticsearch,default,gripping crime TV dramas,q0012_6ccbe365,10,153312,0
elasticsearch,default,gritty street-level superhero TV shows,q0013_8470befc,1,200875,0
elasticsearch,default,gritty street-level superhero TV shows,q0013_8470befc,2,272418,0
elasticsearch,default,gritty street-level superhero TV shows,q0013_8470befc,3,71912,0
elasticsearch,default,gritty street-level superhero TV shows,q0013_8470befc,4,66732,0
elasticsearch,default,gritty street-level superhero TV shows,q0013_8470befc,5,252000,0
elasticsearch,default,gritty street-level superhero TV shows,q0013_8470befc,6,94954,0
elasticsearch,default,gritty street-level superhero TV shows,q0013_8470befc,7,1396,0
elasticsearch,default,gritty street-level superhero TV shows,q0013_8470befc,8,226637,0
elasticsearch,default,gritty street-level superhero TV shows,q0013_8470befc,9,37854,0
elasticsearch,default,gritty street-level superhero TV shows,q0013_8470befc,10,153312,0
elasticsearch,default,heist TV shows,q0014_b58c15f6,1,252000,0
elasticsearch,default,heist TV shows,q0014_b58c15f6,2,1396,0
elasticsearch,default,heist TV shows,q0014_b58c15f6,3,226637,0
elasticsearch,default,heist TV shows,q0014_b58c15f6,4,153312,0
elasticsearch,default,heist TV shows,q0014_b58c15f6,5,95480,0
elasticsearch,default,heist TV shows,q0014_b58c15f6,6,282440,0
elasticsearch,default,heist TV shows,q0014_b58c15f6,7,249586,0
elasticsearch,default,heist TV shows,q0014_b58c15f6,8,228305,0
elasticsearch,default,heist TV shows,q0014_b58c15f6,9,97951,0
elasticsearch,default,heist TV shows,q0014_b58c15f6,10,30983,0
elasticsearch,default,intense crime drama movies,q0015_a9dbb1ba,1,1571470,0
elasticsearch,default,intense crime drama movies,q0015_a9dbb1ba,2,7451,0
elasticsearch,default,intense crime drama movies,q0015_a9dbb1ba,3,760329,0
elasticsearch,default,intense crime drama movies,q0015_a9dbb1ba,4,701387,0
elasticsearch,default,intense crime drama movies,q0015_a9dbb1ba,5,157336,0
elasticsearch,default,intense crime drama movies,q0015_a9dbb1ba,6,1272166,0
elasticsearch,default,intense crime drama movies,q0015_a9dbb1ba,7,106646,0
elasticsearch,default,intense crime drama movies,q0015_a9dbb1ba,8,13056,0
elasticsearch,default,intense crime drama movies,q0015_a9dbb1ba,9,911430,0
elasticsearch,default,intense crime drama movies,q0015_a9dbb1ba,10,374720,0
elasticsearch,default,light-hearted space opera TV shows,q0016_2b0a2bab,1,258742,0
elasticsearch,default,light-hearted space opera TV shows,q0016_2b0a2bab,2,71912,0
elasticsearch,default,light-hearted space opera TV shows,q0016_2b0a2bab,3,66732,0
elasticsearch,default,light-hearted space opera TV shows,q0016_2b0a2bab,4,94954,0
elasticsearch,default,light-hearted space opera TV shows,q0016_2b0a2bab,5,1668,0
elasticsearch,default,light-hearted space opera TV shows,q0016_2b0a2bab,6,37854,0
elasticsearch,default,light-hearted space opera TV shows,q0016_2b0a2bab,7,153312,0
elasticsearch,default,light-hearted space opera TV shows,q0016_2b0a2bab,8,95480,0
elasticsearch,default,light-hearted space opera TV shows,q0016_2b0a2bab,9,1399,0
elasticsearch,default,light-hearted space opera TV shows,q0016_2b0a2bab,10,2190,0
elasticsearch,default,long-form epic fantasy TV series,q0017_1e998183,1,94605,0
elasticsearch,default,long-form epic fantasy TV series,q0017_1e998183,2,246,0
elasticsearch,default,long-form epic fantasy TV series,q0017_1e998183,3,209867,0
elasticsearch,default,long-form epic fantasy TV series,q0017_1e998183,4,37854,0
elasticsearch,default,long-form epic fantasy TV series,q0017_1e998183,5,85077,0
elasticsearch,default,long-form epic fantasy TV series,q0017_1e998183,6,31911,0
elasticsearch,default,long-form epic fantasy TV series,q0017_1e998183,7,60625,0
elasticsearch,default,long-form epic fantasy TV series,q0017_1e998183,8,1429,0
elasticsearch,default,long-form epic fantasy TV series,q0017_1e998183,9,94954,0
elasticsearch,default,long-form epic fantasy TV series,q0017_1e998183,10,92685,0
elasticsearch,default,mind-bending sci-fi movies like Inception,q0018_5507d275,1,1242898,0
elasticsearch,default,mind-bending sci-fi movies like Inception,q0018_5507d275,2,617126,0
elasticsearch,default,mind-bending sci-fi movies like Inception,q0018_5507d275,3,701387,0
elasticsearch,default,mind-bending sci-fi movies like Inception,q0018_5507d275,4,1062722,0
elasticsearch,default,mind-bending sci-fi movies like Inception,q0018_5507d275,5,157336,1
elasticsearch,default,mind-bending sci-fi movies like Inception,q0018_5507d275,6,604079,0
elasticsearch,default,mind-bending sci-fi movies like Inception,q0018_5507d275,7,533533,0
elasticsearch,default,mind-bending sci-fi movies like Inception,q0018_5507d275,8,329,0
elasticsearch,default,mind-bending sci-fi movies like Inception,q0018_5507d275,9,1061474,0
elasticsearch,default,mind-bending sci-fi movies like Inception,q0018_5507d275,10,1234821,0
elasticsearch,default,mind-bending mystery movies with twists,q0019_79da7f59,1,1272166,0
elasticsearch,default,mind-bending mystery movies with twists,q0019_79da7f59,2,1078605,0
elasticsearch,default,mind-bending mystery movies with twists,q0019_79da7f59,3,1013446,0
elasticsearch,default,mind-bending mystery movies with twists,q0019_79da7f59,4,986097,0
elasticsearch,default,mind-bending mystery movies with twists,q0019_79da7f59,5,1330421,0
elasticsearch,default,mind-bending mystery movies with twists,q0019_79da7f59,6,1236470,0
